metric,algorithm,mean,std,n,ci_95_lower,ci_95_upper
success_rate,Dijkstra,0.6714350719279085,0.04800142107195133,20,0.6489697153376071,0.69390042851821
success_rate,Improved-Dijkstra,0.7487441377075885,0.04448350256899672,20,0.727925217657281,0.769563057757896
success_rate,GA,0.8166044179601002,0.032091074962582185,20,0.8015853325601104,0.8316235033600899
success_rate,GCN-DQN,0.9137468575851109,0.022046711818528835,20,0.9034286788398513,0.9240650363303704
avg_delay,Dijkstra,44.37547714227845,3.0009199985748434,20,42.97100335043181,45.77995093412509
avg_delay,Improved-Dijkstra,40.433158454743605,1.9342700164321502,20,39.52789222114728,41.33842468833993
avg_delay,GA,38.318465815994564,2.2578693749712873,20,37.26175042069369,39.37518121129544
avg_delay,GCN-DQN,33.15986838511768,2.694280611069395,20,31.89890624419937,34.420830526036
load_balance,Dijkstra,0.24866548138122044,0.0410423847205943,20,0.22945705405815392,0.26787390870428696
load_balance,Improved-Dijkstra,0.20176873026538183,0.04090708594578377,20,0.18262362471809762,0.22091383581266605
load_balance,GA,0.1902462750213063,0.030137810847780753,20,0.17614134536658668,0.20435120467602594
load_balance,GCN-DQN,0.14909867086523124,0.023721671842801807,20,0.13799658669843448,0.160200755032028
